"id","title","authors","venue","year"
"conf/vldb/BaulierBKS98","A Database System for Real-Time Event Aggregation in Telecommunication","Henry F. Korth, Jerry Baulier, Abraham Silberschatz, Stephen Blott","VLDB","1998"
"journals/sigmod/CabreraLM01","Detection and Classification of Intrusions and Faults using Sequences of System Calls","Jo�o B. D. Cabrera, Raman K. Mehra, Lundy M. Lewis","SIGMOD Record","2001"
"conf/vldb/YanA94","Integrating a Structured-Text Retrieval System with an Object-Oriented Database System","Jurgen Annevelink, Tak W. Yan","VLDB","1994"
"conf/sigmod/ChengKP03","Evaluating Probabilistic Queries over Imprecise Data","Reynold Cheng, Dmitri V. Kalashnikov, Sunil Prabhakar","SIGMOD Conference","2003"
"conf/vldb/MohanBWSZ00","Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes","C. Mohan, S. Watts, Ron Barber, Amit Somani, Markos Zaharioudakis","VLDB","2000"
"journals/sigmod/Palpanas00","Knowledge Discovery in Data Warehouses","Themistoklis Palpanas","SIGMOD Record","2000"
"conf/sigmod/Chakrabarti99","Hypertext Databases and Data Mining","Soumen Chakrabarti","SIGMOD Conference","1999"
"conf/sigmod/ReveszCKLLW00","The MLPQ/GIS Constraint Database System","Yuguo Liu, Yiming Li, Pradip Kanjamala, Rui Chen, Yonghui Wang, Peter Z. Revesz","SIGMOD Conference","2000"
"conf/vldb/MendelzonV00","Temporal Queries in OLAP","Alberto O. Mendelzon, Alejandro A. Vaisman","VLDB","2000"
"conf/sigmod/DasGR03","Approximate Join Processing Over Data Streams","Johannes Gehrke, Abhinandan Das, Mirek Riedewald","SIGMOD Conference","2003"
"conf/sigmod/SchleimerWA03","Winnowing: Local Algorithms for Document Fingerprinting","Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer","SIGMOD Conference","2003"
"journals/sigmod/PissinouSEMOPSTD94","Towards an Infrastructure for Temporal Databases: Report of an Invitational ARPA/NSF Workshop","Ramez Elmasri, Richard T. Snodgrass, Babis Theodoulidis, Inderpal Singh Mumick, Arie Segev, M. Tamer �zsu, Umeshwar Dayal, Niki Pissinou, Barbara Pernici","SIGMOD Record","1994"
"journals/tods/AndriesCPB01","Applying an update method to a set of receivers","Jan Van den Bussche, Marc Andries, Jan Paredaens, Luca Cabibbo","ACM Trans. Database Syst.","2001"
"journals/sigmod/Kemper02","Databases and Transaction Processing: An Application-Oriented Approach - Book Review","Alfons Kemper","SIGMOD Record","2002"
"conf/vldb/ChienTZ01","Efficient Management of Multiversion Documents by Object Referencing","Vassilis J. Tsotras, Carlo Zaniolo, Shu-Yao Chien","VLDB","2001"
"conf/sigmod/AdiBEY01","Monitoring Business Processes through Event Correlation based on Dependency Model","Tali Yatzkar-Haham, Asaf Adi, David Botzer, Opher Etzion","SIGMOD Conference","2001"
"journals/vldb/RafieiM02","Efficient retrieval of similar shapes","Davood Rafiei, Alberto O. Mendelzon","VLDB J.","2002"
"conf/vldb/JohnsonM98","Performance Measurements of Tertiary Storage Devices","Ethan L. Miller, Theodore Johnson","VLDB","1998"
"journals/sigmod/EisenbergM98a","SQLJ Part 0, Now Known as SQL/OLB (Object-Language Bindings)","Andrew Eisenberg, Jim Melton","SIGMOD Record","1998"
"conf/vldb/AgrawalS94","Fast Algorithms for Mining Association Rules in Large Databases","Ramakrishnan Srikant, Rakesh Agrawal","VLDB","1994"
"journals/sigmod/Loeffen94","Text Databases: A Survey of Text Models and Systems","Arjan Loeffen","SIGMOD Record","1994"
"conf/vldb/Sarawagi95","Query Processing in Tertiary Memory Databases","Sunita Sarawagi","VLDB","1995"
"conf/vldb/BertinoBFS96","Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control","Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino","VLDB","1996"
