"id","title","authors","venue","year"
"qaoTK_zX3awJ","ManolopoulosY (1994) Fast subsequence matching in time-series databases","C Faloutsos, M Ranganathan","&hellip; . ACM International Conference on Management of Data (SIGMOD",""
"RkUnSP2Vkj0J","QL et. al. On supporting containment queries in relational database management systems","C Zhang, J Naughton, D Dewitt","SIGMOD, Santa Barbara, California,",""
"idfox84uNHUJ","Fast and accurate text classification via multiple linear discriminant projections","S Chakrabarti, S Roy, MV Soundalgekar","The VLDB Journal The International Journal on Very Large  &hellip;,","2003"
"ZAjbM4H53aUJ","Dynamic itemset counting and implication rules","S Brin, R Motwani, J Ullman, S Tsur","Proceedings ACM SIGMOD, International conference on ",""
"uZVc1wSi3y4J","A probabilistic relational model and algebra","D Dey, S Sarkar","ACM Transactions on Database Systems,","1996"
"G4H0wLuSxaIJ","Building Hierarchical Classifiers Using Class Proximities","K Wang, S Zhou, S Liew","Proceedings of the International Conference on Very Large  &hellip;,",""
"oNYOKYvjoKgJ","DeeDS Towards a Distributed and Active Real-Time Database System","S Andler, J Hansson, J Eriksson, J Mellin, M  ","SIGMOD Record,","1996"
"h_oXQ6ntHEUJ","SPARTAN: A Model-Based Semantic Compression for Massive Data Tables","S Babu, M Garofalakis, R Rastogi","ACM SIGMOD Conference,",""
"TUQ51ASLNI0J","YangY. Association rules over interval data","RJ Miller","","1997"
"B_Gmn8T4IDQJ","Querying the Internet with PIER","R Heubsch, J Hellerstein, N Lanhan, BT Loo, S  ","Proceedings of the 29th International Conference on Very ",""
"tPG--ikWjGcJ","Memory management during run generation in external memory","P Larson, G Graefe","",""
"YXu7xNIgenQJ","FlowBack: Providing Backward Recovery for Workflow Management","B Kiepuszewski, R Muhlberger, ME Orlowska","Proc. of the ACM SIGMOD Int. Conference On Management of ",""
"iLwFjrX22vYJ","q'he Ins and Outs (and Everything in Between) of Data Warehousing,&quot;","J Byard, D Schneider","Tutorial in ACM SIGMOD,",""
"FT5pSUb-uTYJ","Wrapping web data into xml","H Wei","ACM SIGMOD Record,",""
"YvKC62tCWkQJ","Is genericmetadata management feasible? Paneloverview","PA Bernstein","Proc26thIntConfOnVery Large Data Bases,",""
"0ofvccnIJ-0J","The evolution of the web and implications for an incremental crawler. 26th Intl","J Cho, H Garcia-Molina","Conf. on Very Large Data Bases,",""
"vT6v9qSkI2UJ","Fast Algorithems for Association Rules","R Agrawal, R Srikant","Proc. of 20th VLDB Conference,",""
"lGyhpsPV6ogJ","Value-cognizant Speculative Concurrency Control","A Bestavros, S Braoudakis","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1995"
"8a9NXXE4xiwJ","Capability based mediation in TSIMMIS","L Chen, R Yerneni, V Vassalos, H Garcia-Molina, Y  ","SIGMOD-Record,",""
"gfRbQIzfux4J","Improved Histograms for Selectivity Estimation of Range Predicates In Proc. of the 1996 ACM SIGMOD  ","V Poosala, YE Ioannidis, PJ Haas, EJ Shekita","Conf. on Management of Data, May,",""
"qeHXdJ2x7eMJ","A high performance mapped object store","SJ White, DOS DeWitt","Proceedings of the ACM SIGMOD Conference on the Management ",""
"V2WMOB42Gj0J","Medical Information Systems: Characterization and Challenges","JCG Ramirez, LA Smith","SIGMOD Record,","1994"
"9rDLhwM_4mYJ","Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries","AC Gilbert, Y Kotidis, S Muthukrishnan, M Strauss","VLDB,","2001"
"JnwUAxUMwvQJ","Experiences in Federated Databases: From IRO-DB to MIRO-Web","P Fankhauser, G Gardarin","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1998"
"mDj9X3EN9ycJ","DOMAINS, RELATIONS AND RELIGIOUS WARS","S RCAMP, I LS","SIGMOD Record,","1996"
"9OYLimeDdj0J","Multiple-View Self-Maintenance in Data Warehousing Environments","N Huyn","VLDB,","1997"
"-IaXJNRxKVEJ","Dynamic Service Matchmaking Among agents in Open Environments","K Sycara, M Klusch, S Widoff, J Lu","ACM SIGMOD Record,",""
"5dnYlEMQTb0J","The hB ^Î -tree: a multi-attribute index supporting concurrency, recovery and node consolidation","G Evangelidis, D Lomet, B Salzberg","The VLDB Journal The International Journal on Very Large  &hellip;,","1997"
"XoAeyeaR-yAJ","The MENTOR Workbench for Enterprise-wide Workflow Management.","ACMS Anthology, P Edition","",""
"25kJ4dWczjEJ","To Weave the Web","PAG Mecca, P Merialdo","Proceedings of the International Conference on Very Large ",""
"JmlFFnMD_D0J","Coloring Away Communication in Parallel Query Optimization","R MOTWANI","",""
"lXZzpSDzRnwJ","Narasayya. AutoAdmin â??What-Ifâ?? IndexAnalysis Utitlity","S Chaudhuri andV","",""
