"id","name","description","manufacturer","price"
"b00001xdw7","jumpstart kindergarten","jumpstart kindergarten is designed to stimulate excite and inform children entering school for the first time. mr. hopsalot a cartoon bunny helps students ages 4 to 6 learn how to tell time identify upper- and lowercase letters sort objects understand prepositions and more. as with all jumpstart programs jumpstart kindergarten adapts content and presentation to a child's level of achievement and provides plenty of feedback and encouragement.","knowledge adventure","19.99"
"b000hcxkks","microsoft office small business 2007 full version","microsoft office small business 2007 is a powerful and easy-to-use suite of productivity and contact management software with new tools to help you save time stay organized and deliver better customer service. comprised of the 2007 versions of excel word powerpoint publisher and outlook with business contact manager this software package empowers you to create professional looking documents and presentations build powerful spreadsheets and manage your e-mail messages calendar and contacts. the new look and feel of the 2007 microsoft office system automatically displays the menus and toolbars you need when you need them. view larger. tasks are easy to follow up on because they are included on the new to-do bar and within outlook reminders. you can also drag tasks onto your calendar. view larger. you can customize the new information dashboard in office outlook 2007 with business contact manager to display your sales pipeline. view larger. business contact manager also combines contact customer and project information in one place. view larger. create preview and send personalized e-mail publications with office publisher 2007 using new e-mail merge. view larger. in addition outlook with business contact manager integrates powerful contact management features into outlook that allow you to access and track all customer information and communications in a central location. with improved menus and tools enhanced graphics and formatting capabilities new time and communication management tools and more reliability and security the small business 2007 package makes it easier and more enjoyable for you to get things done at home or at work. which edition of office is right for you? view a comparison of microsoft office 2007 editions. work more efficiently and effectively the more intuitive look and feel coupled with the improved tools make small business 2007 the ideal software system to help you work faster to complete routine tasks and create more professional documents spreadsheets and presentations. task-based menus and toolbars automatically display the commands and options you can use making it faster and easier to find the software features you need. thanks to the instant search function to save you time junk mail and anti-phishing filters to protect the security of your computer and new graphics capabilities to help you produce publication-ready documents (complete with logo colors fonts and business information) this software can increase both your productivity and efficiency while giving you more time to spend with your customers. and to help minimize time-wasting future edits the live preview feature makes it easy to sample your changes before you apply them. office excel 2007 makes it easy to analyze data. view larger. improved time management when work is busy it's sometimes difficult to stay on-top of appointments and tasks. this is why small business 2007 lets you schedule tasks in outlook that will appear on your calendar while the to-do bar presents a consolidated view of tasks calendar information and e-mail messages flagged for follow-up. to help effectively manage your time take advantage of the templates and tools in word all of which make it easier to reuse content so you don't have to start from scratch whenever you create a new document. and keeping track of important information is a snap thanks to new excel tools for filtering sorting and visualizing information to help you find and analyze business data more effectively. manage contact and customer information in one place to help you manage contact and customer information outlook with business contact manager includes a complete contact management solution for small businesses that helps you deliver better customer service. this software enables you to organize all of your contact prospect and customer information so it's easier to manage prospects respond to customers and manage your sales process in one place. enhanced reporting features include over 50 reports that you can easily modify for your unique business needs and new filtering capabilities help you forecast and close sales. you can also record all types of communications with a customer in one place-- including all e-mail phone calls appointments notes and documents-- and view a consolidated view of your sales pipeline by using a variety of flexible reports that you can easily modify for your unique business needs. you also can track and manage project tasks and even transfer tasks to coworkers. for added flexibility you can work offline on your laptop or pocket pc and then synchronize data when you return to the office. including charts in office powerpoint 2007 is easy. view larger. produce professional-looking marketing materials and campaigns in-house small business 2007 makes it a snap to manage the entire marketing process so you save the time and expense of hiring an outside service. create and distribute professional-looking marketing materials and campaigns for print e-mail and the web by using publisher. then use outlook with business contact manager and publisher together to track and manage marketing campaign activities including compiling mailing lists distributing materials and tracking your results. you also can access the library of customizable templates in powerpoint to create professional-looking presentations that enhance your business identity. if you need to merge information from multiple sources combine and filter mailing lists and data from excel outlook outlook with business contact manager and access to create personalized print and e-mail materials and build customized collateral such as catalogs and datasheets. dynamic presentations one of the most effective ways to inspire both employees and customers is to impress them with a dynamic presentation. with its extensive library of customizable themes and slide layouts powerpoint helps you to create powerful charts smartart graphics and tables while giving you the time-saving option of quickly previewing formatting changes so your final result is ready to go. you can also use the pdf file format for easier document distribution and high-quality printing. no matter what you need to help your business thrive small business 2007 can make it possible.","microsoft","449.95"
"b000pgvk5s","apple final cut studio 2 (mac)","final cut studio 2 delivers an integrated post-production solution that lets you move effortlessly from editing to color grading to creating motion graphics to sculpting audio to multiformat encoding and dvd authoring. this powerful new version features final cut pro 6 motion 3 soundtrack pro 2 compressor 3 dvd studio pro 4 and color the newest member of the suite. craft the perfect story using a tightly integrated and innovative suite of products created specifically for video editors. with xml to share project data and quicktime to seamlessly move media between systems final cut studio 2 can fit into virtually any production pipeline or newsroom. editing unleashed final cut studio 2 helps take you beyond mere editing. discover the intuitive power of new creative tools designed expressly for final cut pro editors. rapidly move through editing to motion graphics audio editing and mixing color grading and delivery--all as a natural extension of the work you already do. final cut studio 2 puts a powerful new version of final cut pro at the center of an integrated post-production workflow. final cut studio 2 includes final cut pro 6 motion 3 soundtrack pro 2 compressor 3 dvd studio pro 4 and color--a brand-new application for professional color grading. it's a final cut world independent filmmakers. hollywood film editors. corporate video and event producers. editors with hourly deadlines cutting broadcast spots or network news. hundreds of thousands of creative professionals all over the world have made final cut pro their first choice for editing. it has rapidly become an industry standard. building on this success apple has designed each application in final cut studio 2 with final cut pro editors in mind. start working quickly with intuitive tools and familiar interfaces. whenever you're ready for precise control a comprehensive set of features is just a click away. the editor's choice final cut studio 2 is fast fluid and flexible. use a laptop on location and a desktop in the studio. start with the tools you already use today and extend your reach when you're ready. final cut studio 2 has everything you need in a single product. edit. use final cut pro 6 for native editing of virtually any format--from dv and sd up to hdv xdcam hd dvcpro hd and fully uncompressed hd. or use prores 422 a new post-production format from apple that offers uncompressed hd quality at sd file sizes. drag clips with different formats and even different frame rates into the new open format timeline. animate. create stunning 2d and 3d motion graphics in real time with motion 3 the fastest and most intuitive way to animate and express your creative vision. just drag and drop to make dramatic particle effects explode into 3d space; form vector-based paint strokes with the swish of a pen. new motion master templates let you edit text and drop in video without leaving final cut pro. mix. record and edit dialogue add music and effects and complete your mix with ease. soundtrack pro 2 lets you work faster than ever in its new streamlined interface. you can even produce in surround sound using innovative visual tools. if you make changes to your edit in final cut pro you can rapidly update your audio mix with the powerful conform feature in soundtrack pro. grade. give your production a signature look or create a consistent feel for shots from different sources. color is the newest member of the final cut studio family offering professional color grading that can elevate the quality of any production. deliver. use compressor 3 to create pristine-quality output for a wide range of delivery formats--including the web ipod iphone apple tv and broadcast servers. a streamlined new interface lets you batch-process encoding with point-and-click ease. if film is your destination use cinema tools 4 to output film lists that combine timecode and keycode in a single list. or use dvd studio pro 4 for professional dvd authoring and mastering. post-production without walls final cut studio 2 is not just a product. it's a platform. open standards encourage innovation giving developers and partners the freedom to create custom solutions. with xml to share project data and quicktime to seamlessly move media between systems final cut studio 2 can fit into virtually any production pipeline or newsroom. whether you're working in a group of 2 or 200 final cut studio lets you collaborate with ease. share media seamlessly across multiple workstations with xsan. use final cut server--with or without xsan--for media asset management and workflow automation that is deeply integrated with final cut studio 2. whether you're cutting commercials editing feature films or pushing out the nightly news final cut server helps you work faster whenever you're working together. final cut pro 6one timeline. infinite possibilities. mix and match source material--both formats and frame rates--in real time using the new open format timeline in final cut pro 6. create exactly the look you want for your projects with the complete set of professional color grading and finishing tools in color. easily create sophisticated 3d environments with depth and realism--with the real-time 3d multiplane compositing tools in motion 3. fly through audio editing and mixing create immersive soundtracks and easily conform audio to video edits using the new streamlined interface in soundtrack pro 2. deliver your best work quickly and easily to virtually any format encoding hands-free on your local mac or across a network of connected mac systems with compressor 3. produce sophisticated fully interactive studio-quality dvd titles with drag-and-drop ease using dvd studio pro 4. the first choice of professional editors worldwide final cut pro 6 delivers high performance digital nonlinear editing native support for virtually any video format and facility-class extensibility and interoperability. its workflow extends through the other final cut studio applications and final cut server for even more power. whether you're working solo or collaborating with a team final cut pro gives you more creative options and technical control than ever before including: broad format support incredible real-time effects comprehensive editing tools expanded power as the hub of final cut studio open extensible architecture colorcolor grading is in the house. color grading involves more than color correction. just as different soundtracks can make a particular scene feel humorous romantic or menacing the look created by a color grade can radically alter the tone and mood of a sequence. color apple's new professional color grading application makes it easy for editors to create signature looks for projects ranging from short video pieces to full-length theatrical films. color offers the following key features: real-time professional color grading dramatic color effects cinema-quality signature looks final cut studio workflows motion 3now playing in 3d. motion 3 takes the complexity out of 3d by extending the 2d tools you already use. with its intuitive interface and rich toolset the only limit is your imagination. send particles exploding through space. swing cameras around an object with breathtaking ease. squiggle a vector-based paint stroke in 3d through the cosmos. motion 3 lets you create 3d motion graphics with drag-and-drop ease startling performance and unprecedented color fidelity. this powerful upgrade to apple's award-winning motion graphics software features: an intuitive real-time design environment flexible animation tools 3d motion graphics done right breathtaking filters and effects numerous time-saving features soundtrack pro 2the next wave in audio post. soundtrack pro 2 offers unprecedented convenience and power to editors. fly through audio editing and mixing with a new streamlined interface that combines the multitrack timeline and waveform editor in a single view. easily create immersive soundtracks with innovative surround sound tools. automatically conform your audio edit to changes made in your video edit. with its familiar interface and intuitive tools soundtrack pro is the final cut pro of audio post-production. key features of soundtrack pro 2 include: streamlined multitrack interface professional editing and dialogue tools intuitive surround sound automatic audio conform process intelligent workflows compressor 3create once. debut everywhere. with increasing demand for media distribution in multiple formats--ranging from hd broadcast to an ipod screen--it's more important than ever to be able to output files efficiently while keeping quality high. the streamlined interface of compressor 3 lets you quickly configure batch processes for encoding to a wide range of industry standard formats. or create format and standards conversions at pristine quality through sophisticated optical flow technology. for the ultimate high-speed workflow set up distributed encoding over a shared-media network powered by xsan. key features of compressor 3 include: streamlined encoding workflow industry-standard encoding support pristine format conversions distributed encoding dvd studio pro 4simply powerful dvd authoring. dvd studio pro 4 makes it easy to extend your creative vision to every aspect of dvd authoring. whether your project is simple or sophisticated you'll enjoy using familiar easy-to-use tools to produce the perfect presentation of your sd or hd content. a comprehensive set of advanced features is available whenever you want more control. key features of dvd studio pro 4 include: intuitive design environment professional authoring tools versatile dvd mastering post-production workgroups collaborate with a small team of editors in a boutique post-production facility. or build a custom workfl ow for a global news network. whether you're sharing a small number of media assets over a lan or supporting hundreds of editors on a san final cut studio makes it easy for everyone to work together. shared media assets small workgroups can share media over a lan or wan by copying assets from a shared volume to a local workstation. for a scalable high-performance shared storage solution final cut studio editors can collaborate over a fibre channel storage area network (san) powered by xsan. with xsan every editor on a project has concurrent access to source media files and never needs to transfer assets between workstations. each mac system accesses shared files on the san as if the storage were directly attached. xsan can support hundreds of concurrent clients and can easily be expanded to provide more storage capacity and bandwidth as your needs grow. asset management and workflow automation meet final cut server apple's powerful new media asset management and workflow automation software. final cut server takes the headache out of managing large collections of media files then extends to tracking job status managing reviews and approvals and automating complex sequences of tasks--all with apple's legendary ease of use and all in a single product designed to work seamlessly with final cut studio. final cut server combines server software designed to run on mac os x with a cross-platform client that runs on either macintosh or windows-based computers. collaborate over a lan or wan with a small number of users or leverage the power of xsan to share media across a large number of workstations.","apple","1299"
"b000aoz7fo","sony acid music studio","acid music studio 6 was designed for the serious home recording musician. it ahs all the tools you'd use in a professional studio turning your pc into a one-stop mixing and engineering device. supports import editing transcoding and exporting in wav mp3 and other popular formats burn your perfect mix cd or publish your music online","sony pictures digital entertainment","69.99"
"b000o39u3q","adventure workshop preschool-1st grade 8th edition","adventure workshop preschool-1st grade 8th edition gives you three award-winning titles for one low price! this super learning tool for children delivers hours of creative exploration. your child will love playing learning and just spending time with his or her favorite characters. watch your child laugh and learn through colorful and clever activities that build valuable skills. give your child a ticket to join this fun and exciting learning adventure. for ages 3 to 7.","encore","19.99"
"b000ndibaa","adobe illustrator cs3 upgrade from freehand [mac]","note: this is the upgrade from freehand version of adobe illustrator cs3. adobe illustrator cs3 upgrade software allows you to efficiently create sophisticated vector artwork for virtually any medium. access tools quickly and easily explore color variations and share files seamlessly between illustrator and other adobe professional applications as you prepare content for print web and interactive and mobile and motion designs. efficiently create sophisticated vector artwork for virtually any medium. explore new paths with the essential vector tool produce vector artwork for all types of media using adobe illustrator cs3. discover dynamic new ways to explore apply and control color variations; work faster with new drawing tools and controls; and increase your efficiency using new document profiles and the crop area tool. take your graphics to the printed page websites video mobile devices and virtually everywhere you want to go. see for yourself how illustrator cs3 lets you explore new paths. use powerful precise creative tools quickly explore multiple design options with the powerful precise creative features in illustrator cs3. industry-standard drawing tools new color controls and a wealth of powerful effects enable greater creative productivity and the ability to easily experiment. use new live color to explore color harmonies and interactively apply color to any selection of objects. work faster by controlling path editing and point alignment in the control panel. and enhance your artwork with professional typography and transparent effects. work quickly and intuitively efficiently execute your ideas in illustrator cs3. with easier access to tools and options flexible and customizable workspaces and a wealth of timesaving features and shortcuts you can speed through design and production tasks. the enhanced control panel frees up screen space and puts more options at your fingertips while new document profiles provide a launch pad for video and other designs. whatever your final output destination you can create your artwork quickly and easily in illustrator cs3. enjoy tight integration streamline your design workflows by moving easily between illustrator cs3 and other adobe applications. leverage robust integration with adobe flash software for your web animations and preview mobile artwork in adobe device central cs3. use your vector designs as the basis of dvd menus titles and visual effects by moving them easily between illustrator and adobe motion and effects applications. and create reliable adobe pdf files with multiple pages and layers intact for high-quality printed output. audience benefit graphic designers--adobe illustrator cs3 software lets you create compelling vector graphics that remain sharp as you scale edit and output them to virtually any medium. instantly convert bitmaps to vector artwork paint intuitively explore color variations design with advanced typographic control and easily find the tools you need. rely on industry-standard drawing tools and tight integration with adobe photoshop cs3 adobe flash cs3 professional adobe indesign cs3 and other favorite applications to quickly realize your ideas. web and interactive designers--adobe illustrator cs3 software gives you the power to create compelling interactive vector graphics for rich online experiences. tight integration with adobe photoshop cs3 and adobe flash cs3 professional software enables you to easily design layouts and comps using industry-standard creative tools and then smoothly move files between applications for efficient authoring workflows to produce vector graphics that look sharp remain editable and go virtually anywhere. motion graphics and visual effects designers--adobe illustrator cs3 software delivers the tools you need to produce innovative motion graphics and visual effects. integration with adobe after effects cs3 professional adobe premiere pro cs3 and adobe encore cs3 software means you can use small efficient vector files as the foundation for your designs and a wealth of industry-standard drawing tools let you explore creative possibilities with ease. whether you create dvd menus or music videos station identities or special effects illustrator cs3 is an affordable efficient and powerful post-production tool. new in adobe illustrator cs3 live color explore apply and control color variations using live color which lets you select any artwork and interactively edit the colors to see results immediately. use the color guide panel to quickly choose tints shades or harmonious color combinations. adobe flash integration import native adobe illustrator files into flash cs3 professional or copy and paste artwork from illustrator to flash with paths anchor points gradients clipping masks and symbols intact. layers groups and object names are also preserved. drawing tools and controls draw in illustrator more quickly and fluidly than ever. easier and more flexible anchor point selection improved operating performance and a new eraser tool help you create artwork efficiently and intuitively. improved operating performance enjoy more responsive drawing and editing with improved performance in key operations including faster screen redraw object moving panning scaling and transformations. control panel discover more options faster and free up screen space by accessing anchor point controls clipping masks envelope distortions and more from the context-sensitive control panel. eraser tool quickly remove areas of artwork with the eraser tool as easily as you erase pixels in photoshop and enjoy complete control over the width shape and smoothness of the erasure. new document profiles create artwork easily by selecting prebuilt profiles for various types of media and save custom profiles that specify such setup parameters as artboard dimensions styles and color spaces. crop area tool define crop areas interactively for print or export. choose preset web ratios or video formats with safe areas and set crop marks intuitively. define multiple crop areas and easily move between them as needed. isolation mode edit objects in a group without disturbing other parts of your artwork. easily select hard-to-find objects without having to restack lock or hide layers. symbols for flash use symbols to animate repeated objects while keeping file sizes small. define and name symbol object attributes and preserve these properties when you take the artwork to flash cs3 professional for further editing. additional features live trace quickly and accurately convert photos scans or other bitmap images to editable and scalable vector paths using live trace. integration with adobe design applications speed your way through graphic designs and print production thanks to tight integration with adobe photoshop indesign and acrobat software. live paint easily paint any closed or partially closed area of your artwork with the live paint bucket which automatically detects and corrects gaps and lets you interactively select colors from a swatch palette for faster work. advanced typography easily create and control type with over 100 opentype fonts paragraph and character styles paragraph composition underline and strikethrough transparent effects and more. custom workspaces work more efficiently using custom workspaces that display only the panels you need for a specific task. save share or access any workspace at any time or use workspace presets. adobe pdf file creation tools create native adobe pdf files including multipage pdf files so clients and others can easily review your artwork using adobe acrobat or free adobe reader software. web and interactive tools easily create for the web and mobile devices using vector-based slicing tools robust integration with flash new document profiles for web and mobile designs the capability to preview mobile content in adobe device central and more. new document profiles for web and mobile devices select profiles for web or mobile devices that include prebuilt proportional crops symbols and more. save custom profiles for your projects and clients. save for web/mobile easily export using the save for web/mobile dialog box which lets you choose from html swf gif and jpeg formats along with color count compression file size mobile output and more. adobe device central cs3 create rich graphic content for mobile devices by using adobe device central cs3 to open a specific new document profile and then preview output using the save for web/mobile dialog box. integration with adobe motion and effects tools use your adobe illustrator artwork in adobe after effects projects adobe premiere pro video productions and adobe encore projects to create dvd titles animations effects and more. live color for motion and effects use live color to explore apply and control color variations for effects. quickly change colors in your artwork and automatically see the update in adobe after effects or adobe premiere pro software. new document profiles for motion and effects select prebuilt profiles that include video color profiles pixel aspect ratios transparency grids and aperture settings. save profiles with custom parameters. crop area tool for motion and effectsuse the crop area tool to define working areas on your artboard that are specific to your video aperture complete with safe-area guides.","adobe","199"
"b000g6gn2m","i transfer dvds 2 ipod edition (win/mac)","with itransfer dvd 2: ipod edition you can easily transfer your favorite movies to your video-enabled ipod and watch them anytime or anywhere! the incredible itransfer dvds2 apple ipod version software allows you to transfer virtually any format including avi ask mepg vob & more directly to your ipod. you won't believe how easy it is to convert a movie with itransfer dvds. simply drag and drop files from your computer to your ipod. you'll be able to transfer virtually any movie or video in a common movie format such as plug-ins. and it works on either a mac or a pc. you'll be able to take all your favorite movies with you wherever you go! it's like having a complete dvd library with you wherever you go!","me too software","29.99"
"b000099107","time money & fractions grades 1-2","proven curriculum audio helps and clear examples help your child master essential skills. children remember what they have practiced because the exercises repeat and reinforce learning time.","school zone","9.99"
"b000frttvy","kaspersky anti-virus 6.0","kaspersky� anti-virus 6.0 combines traditional anti-virus defense methods with the latest proactive technologies to provide solid and dependable protection against malicious programs. beginners in particular will be pleasantly surprised to find a product that is simple to install and set up while for more advanced users the product is highly adaptable and can be easily tailored to suit their individual requirements. kaspersky anti-virus 6.0 is remarkable for its seamless integration with the microsoft windows family of operating systems (including microsoft windows x64) and excellent compatibility with other pc protection programs (e.g. firewalls). features installs easily with a clear interface and automated functions making it the right choice for even the most inexperienced computer users. scans email traffic (pop3 imap and nntp for incoming mail smtp for outgoing) for all mail programs. scans all http internet traffic in real time and offers rapid scan of all individual files catalogs and disks. controls changes to file system to prevent malicious programs from undermining applications. monitors program activity and warns of suspicious or hidden processes (rootkits) or unauthorized changes. controls status of system registry and alerts of suspicious objects or attempts to create hidden registry keys. records all registry and file system changes to rapidly restore your computer after any malicious attacks. automatically balances scan speeds with increased user activity; and offers accelerated scan settings. blocks dangerous macro commands from being executed. delivers the smallest updates (~ 50 kb) for virtually instant updating. supports wifi internet access for antivirus updating. conserves batteries with economy mode. supports intel centrino processors and hyper-threading technology.","kaspersky lab","59.95"
"b000mgvnks","gorilla 4 standard","if your projects are going to be under $625 000 (per sag low budget agreement) then this is the choice for you. the standard edition has all the features of the pro edition but is meant for real independent films. another nice feature is that gorilla comes in three flavors each priced right for your pocketbook. why spend hundreds of dollars on the software when you need to put every penny into your production?","jungle software","299"
