"id","title","authors","venue","year"
"journals/sigmod/Mackay99","Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making","D. Scott Mackay","SIGMOD Record",1999
"conf/vldb/PoosalaI96","Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing","Viswanath Poosala, Yannis E. Ioannidis","VLDB",1996
"conf/vldb/PalpanasSCP02","Incremental Maintenance for Non-Distributive Aggregate Functions","Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane","VLDB",2002
"conf/vldb/GardarinGT96","Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases","Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser","VLDB",1996
"conf/vldb/HoelS95","Benchmarking Spatial Join Operations with Spatial Output","Erik G. Hoel, Hanan Samet","VLDB",1995
"conf/sigmod/Keim99","Efficient Geometry-based Similarity Search of 3D Spatial Databases","Daniel A. Keim","SIGMOD Conference",1999
"journals/sigmod/Ouksel02","Mining the World Wide Web: An Information Search Approach - Book Review","Aris M. Ouksel","SIGMOD Record",2002
"journals/vldb/Seshadri98","Enhanced Abstract Data Types in Object-Relational Databases","Praveen Seshadri","VLDB J.",1998
"journals/sigmod/RamamrithamS97","Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice)","Nandit Soparkar, Krithi Ramamritham","SIGMOD Record",1997
"journals/sigmod/DAndreaJ96","UniSQL's Next-Generation Object-Relational Database Management System","Phil Janus, Albert D'Andrea","SIGMOD Record",1996
"conf/vldb/KemperK94","Dual-Buffering Strategies in Object Bases","Alfons Kemper, Donald Kossmann","VLDB",1994
"conf/sigmod/AbadiCCCCEGHMRSSTXYZ03","Aurora: A Data Stream Management System","Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur Çetintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun","SIGMOD Conference",2003
"journals/vldb/SivasankaranSTPR96","Priority Assignment in Real-Time Active Databases","Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley","VLDB J.",1996
"journals/vldb/SheikholeslamiCZ00","WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases","Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang","VLDB J.",2000
"journals/vldb/ChangG01","Approximate query mapping: Accounting for translation closeness","Hector Garcia-Molina, Kevin Chen-Chuan Chang","VLDB J.",2001
"conf/vldb/ShaferAM96","SPRINT: A Scalable Parallel Classifier for Data Mining","John C. Shafer, Rakesh Agrawal, Manish Mehta","VLDB",1996
"conf/sigmod/AgichteinGV01","Snowball: A Prototype System for Extracting Relations from Large Text Collections","Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova","SIGMOD Conference",2001
"conf/sigmod/GriffinH97","A Framework for Implementing Hypothetical Queries","Timothy Griffin, Richard Hull","SIGMOD Conference",1997
"journals/vldb/IoannidisNSS97","Parametric Query Optimization","Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim","VLDB J.",1997
"conf/vldb/CuiW01","Lineage Tracing for General Data Warehouse Transformations","Yingwei Cui, Jennifer Widom","VLDB",2001
"journals/sigmod/Hammer02","Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001)","Joachim Hammer","SIGMOD Record",2002
"conf/vldb/Bar-YossefBCFW00","Approximating Aggregate Queries about Web Pages via Random Walks","Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz","VLDB",2000
"journals/sigmod/FernandezFLS97","A Query Language for a Web-Site Management System","Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez","SIGMOD Record",1997
"conf/vldb/BertinoBFS96","Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control","Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino","VLDB",1996
"conf/sigmod/LiS98","Free Parallel Data Mining","Bin Li, Dennis Shasha","SIGMOD Conference",1998
"conf/vldb/ChenCFGJMTW99","High Level Indexing of User-Defined Types","Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendonça Mattos","VLDB",1999
"conf/vldb/Bernstein94","PC Database Systems - Present and Future","Philip A. Bernstein","VLDB",1994
"conf/vldb/LuoN01","Form-Based Proxy Caching for Database-Backed Web Sites","Jeffrey F. Naughton, Qiong Luo","VLDB",2001
"journals/vldb/AbiteboulCM98","A Logical View of Structured Files","Tova Milo, Serge Abiteboul, Sophie Cluet","VLDB J.",1998
"journals/sigmod/PitouraAPSV03","DBGlobe: a service-oriented P2P system for global computing","Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras","SIGMOD Record",2003
"conf/sigmod/BraumandlKK99","Database Patchwork on the Internet","Reinhard Braumandl, Alfons Kemper, Donald Kossmann","SIGMOD Conference",1999
"conf/vldb/ZemankovaI94","Scientific Databases - State of the Art and Future Directions","Yannis E. Ioannidis, Maria Zemankova","VLDB",1994
"conf/vldb/BerckenSW97","A Generic Approach to Bulk Loading Multidimensional Index Structures","Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken","VLDB",1997
"conf/vldb/ZhouS03","Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces","Jörg Sander, Jianjun Zhou","VLDB",2003
"conf/vldb/LabioG96","Efficient Snapshot Differential Algorithms for Data Warehousing","Hector Garcia-Molina, Wilburt Labio","VLDB",1996
"conf/vldb/CochranePM96","Integrating Triggers and Declarative Constraints in SQL Database Sytems","Roberta Cochrane, Hamid Pirahesh, Nelson Mendonça Mattos","VLDB",1996
"conf/vldb/HristidisGP03","Efficient IR-Style Keyword Search over Relational Databases","Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis","VLDB",2003
"journals/vldb/SaltenisJ02","Indexing of now-relative spatio-bitemporal data","Simonas Saltenis, Christian S. Jensen","VLDB J.",2002
"conf/sigmod/Dyreson03","Temporal Coalescing with Now, Granularity, and Incomplete Information","Curtis E. Dyreson","SIGMOD Conference",2003
