"idDBLP","idScholar"
"conf/sigmod/AbadiC02","f2Lea-RN8dsJ"
"conf/sigmod/AbadiCCCCEGHMRSSTXYZ03","eBnT7lhV2LwJ"
"conf/sigmod/AbadiCCCCEGHMRSSTXYZ03","gBVNSFeS4P8J"
"conf/sigmod/AbadiCCCCEGHMRSSTXYZ03","VuY9Y49GqXgJ"
"conf/sigmod/AbiteboulBCMM03","AxpQwgyRyLgJ"
"conf/sigmod/AbiteboulBCMM03","Rjb06zlxbLIJ"
"conf/sigmod/AbiteboulCM95","4GT0Krd9RP0J"
"conf/sigmod/AbiteboulCM95","cu9DXtjeF24J"
"conf/sigmod/AbiteboulCM95","DakOA4Ew-poJ"
"conf/sigmod/AboulnagaC99","WWaxLMIptTMJ"
"conf/sigmod/AboulnagaC99","xnDzelm2t1QJ"
"conf/sigmod/AcharyaAFZ95","_-yXA5HLnqoJ"
"conf/sigmod/AcharyaAFZ95","0lAHCM-lcjIJ"
"conf/sigmod/AcharyaAFZ95","2fO9nM2FoGYJ"
"conf/sigmod/AcharyaAFZ95","cHxtmO9talkJ"
"conf/sigmod/AcharyaAFZ95","clF04MGcPSUJ"
"conf/sigmod/AcharyaAFZ95","GOguWgH6D_UJ"
"conf/sigmod/AcharyaAFZ95","h2z51QPXcSkJ"
"conf/sigmod/AcharyaAFZ95","rO4-yA3tlfoJ"
"conf/sigmod/AcharyaAFZ95","y74PIIvb_GMJ"
"conf/sigmod/AcharyaAFZ95","ZdWKBKSoMUQJ"
"conf/sigmod/AcharyaFZ97","9OEjtHuRUzsJ"
"conf/sigmod/AcharyaFZ97","FDPwbRQbfIAJ"
"conf/sigmod/AcharyaFZ97","Hf3gZHIcm58J"
"conf/sigmod/AcharyaFZ97","NDzryNtTyL8J"
"conf/sigmod/AcharyaFZ97","QCAu6wPhnAAJ"
"conf/sigmod/AcharyaFZ97","qdCTR7WpuFUJ"
"conf/sigmod/AcharyaFZ97","umGxlKvzLoUJ"
"conf/sigmod/AcharyaGP00","q_bQLiJ-KZAJ"
"conf/sigmod/AcharyaGP00","smzeHDQ3zbMJ"
"conf/sigmod/AcharyaGP00","WGWZ2cNZW2YJ"
"conf/sigmod/AcharyaGPR99","5vntH4boqdgJ"
"conf/sigmod/AcharyaGPR99","a1esMNRsK_UJ"
"conf/sigmod/AcharyaGPR99","mOngiXbKrNkJ"
"conf/sigmod/AcharyaGPR99","s064OghlyIUJ"
"conf/sigmod/AcharyaGPR99","t8KDgCSg9RIJ"
"conf/sigmod/AcharyaGPR99a","ahfoveFQC2sJ"
"conf/sigmod/AcharyaGPR99a","C221gFS5VVoJ"
"conf/sigmod/AcharyaGPR99a","czJmrc_4tZ4J"
"conf/sigmod/AcharyaGPR99a","EpUtXEhwDaUJ"
"conf/sigmod/AcharyaGPR99a","IkNOhDqEY18J"
