"ID","name","phone_number"
"http://www.okkam.org/oaie/restaurant1-Restaurant31","daniel","212/288-0033"
"http://www.okkam.org/oaie/restaurant1-Restaurant32","dawat","212/355-7555"
"http://www.okkam.org/oaie/restaurant1-Restaurant30","chanterelle","212/966-6960"
"http://www.okkam.org/oaie/restaurant1-Restaurant39","la caravelle","212/586-4252"
"http://www.okkam.org/oaie/restaurant1-Restaurant38","jo jo","212/223-5656"
"http://www.okkam.org/oaie/restaurant1-Restaurant37","island spice","212/765-1737"
"http://www.okkam.org/oaie/restaurant1-Restaurant36","gramercy tavern","212/477-0777"
"http://www.okkam.org/oaie/restaurant1-Restaurant35","gotham bar & grill","212/620-4020"
"http://www.okkam.org/oaie/restaurant1-Restaurant34","four seasons grill room","212/754-9494"
"http://www.okkam.org/oaie/restaurant1-Restaurant33","felidia","212/758-1479"
"http://www.okkam.org/oaie/restaurant1-Restaurant40","la cote basque","212/688-6525"
"http://www.okkam.org/oaie/restaurant1-Restaurant41","le bernardin","212/489-1515"
"http://www.okkam.org/oaie/restaurant1-Restaurant42","les celebrites","212/484-5113"
"http://www.okkam.org/oaie/restaurant1-Restaurant43","lespinasse","212/339-6719"
"http://www.okkam.org/oaie/restaurant1-Restaurant49","montrachet","212/ 219-2777"
"http://www.okkam.org/oaie/restaurant1-Restaurant48","mi cocina","212/627-8273"
"http://www.okkam.org/oaie/restaurant1-Restaurant45","manhattan ocean club","212/ 371-7777"
"http://www.okkam.org/oaie/restaurant1-Restaurant44","lutece","212/752-2225"
"http://www.okkam.org/oaie/restaurant1-Restaurant47","mesa grill","212/807-7400"
"http://www.okkam.org/oaie/restaurant1-Restaurant46","march","212/754-6272"
"http://www.okkam.org/oaie/restaurant1-Restaurant10","restaurant katsu","213/665-1891"
"http://www.okkam.org/oaie/restaurant1-Restaurant99","chez michel","415/775-7036"
"http://www.okkam.org/oaie/restaurant1-Restaurant91","restaurant  ritz-carlton  atlanta","404/659-0400"
"http://www.okkam.org/oaie/restaurant1-Restaurant92","toulouse","404/351-9533"
"http://www.okkam.org/oaie/restaurant1-Restaurant93","veni vidi vici","404/875-8424"
"http://www.okkam.org/oaie/restaurant1-Restaurant19","rex il ristorante","213/627-2300"
"http://www.okkam.org/oaie/restaurant1-Restaurant94","alain rondelli","415/387-0408"
"http://www.okkam.org/oaie/restaurant1-Restaurant95","aqua","415/956-9662"
"http://www.okkam.org/oaie/restaurant1-Restaurant96","boulevard","415/543-6084"
"http://www.okkam.org/oaie/restaurant1-Restaurant97","cafe claude","415/392-3505"
"http://www.okkam.org/oaie/restaurant1-Restaurant98","campton place","415/955-5555"
"http://www.okkam.org/oaie/restaurant1-Restaurant14","matsuhisa","310/659-9639"
"http://www.okkam.org/oaie/restaurant1-Restaurant13","locanda veneta","310/274-1893"
"http://www.okkam.org/oaie/restaurant1-Restaurant12","le chardonnay","213/655-8880"
"http://www.okkam.org/oaie/restaurant1-Restaurant11","l'orangerie","310/652-9770"
"http://www.okkam.org/oaie/restaurant1-Restaurant18","pinot bistro","818/990-0500"
"http://www.okkam.org/oaie/restaurant1-Restaurant17","philippe's the original","213/628-3781"
"http://www.okkam.org/oaie/restaurant1-Restaurant16","patina","213/467-1108"
"http://www.okkam.org/oaie/restaurant1-Restaurant90","dining room  ritz-carlton  buckhead","404/237-2700"
"http://www.okkam.org/oaie/restaurant1-Restaurant15","the palm","310/550-8811"
"http://www.okkam.org/oaie/restaurant1-Restaurant20","spago","310/652-4025"
"http://www.okkam.org/oaie/restaurant1-Restaurant21","valentino","310/829-4313"
"http://www.okkam.org/oaie/restaurant1-Restaurant23","21 club","212/582-7200"
"http://www.okkam.org/oaie/restaurant1-Restaurant22","yujean kang's gourmet chinese cuisine","818/585-0855"
"http://www.okkam.org/oaie/restaurant1-Restaurant25","aureole","212/ 319-1660"
"http://www.okkam.org/oaie/restaurant1-Restaurant24","aquavit","212/307-7311"
"http://www.okkam.org/oaie/restaurant1-Restaurant27","cafe des artistes","212/877-3500"
"http://www.okkam.org/oaie/restaurant1-Restaurant26","cafe lalo","212/496-6031"
"http://www.okkam.org/oaie/restaurant1-Restaurant29","carnegie deli","212/757-2245"
"http://www.okkam.org/oaie/restaurant1-Restaurant28","carmine's","212/362-2200"
"http://www.okkam.org/oaie/restaurant1-Restaurant100","fleur de lys","415/673-7779"
"http://www.okkam.org/oaie/restaurant1-Restaurant102","hawthorne lane","415/777-9779"
"http://www.okkam.org/oaie/restaurant1-Restaurant101","fringale","415/543-0573"
"http://www.okkam.org/oaie/restaurant1-Restaurant104","la folie","415/776-5577"
"http://www.okkam.org/oaie/restaurant1-Restaurant103","khan toke thai house","415/668-6654"
"http://www.okkam.org/oaie/restaurant1-Restaurant106","masa's","415/989-7154"
"http://www.okkam.org/oaie/restaurant1-Restaurant105","lulu","415/495-5775"
"http://www.okkam.org/oaie/restaurant1-Restaurant76","bone's","404/237-2663"
"http://www.okkam.org/oaie/restaurant1-Restaurant108","plumpjack cafe","415/563-4755"
"http://www.okkam.org/oaie/restaurant1-Restaurant75","bacchanalia","404/365-0410"
"http://www.okkam.org/oaie/restaurant1-Restaurant107","mifune japan center  kintetsu building","415/922-0337"
"http://www.okkam.org/oaie/restaurant1-Restaurant74","abruzzi","404/261-8186"
"http://www.okkam.org/oaie/restaurant1-Restaurant109","postrio","415/776-7825"
"http://www.okkam.org/oaie/restaurant1-Restaurant73","tillerman","702/731-4036"
"http://www.okkam.org/oaie/restaurant1-Restaurant72","steak house","702/734-0410"
"http://www.okkam.org/oaie/restaurant1-Restaurant71","second street grille","702/385-3232"
"http://www.okkam.org/oaie/restaurant1-Restaurant70","palace court","702/731-7547"
"http://www.okkam.org/oaie/restaurant1-Restaurant79","ciboulette","404/874-7600"
"http://www.okkam.org/oaie/restaurant1-Restaurant77","brasserie le coze","404/266-1440"
"http://www.okkam.org/oaie/restaurant1-Restaurant78","buckhead diner","404/262-3336"
"http://www.okkam.org/oaie/restaurant1-Restaurant9","grill on the alley","310/276-0615"
"http://www.okkam.org/oaie/restaurant1-Restaurant8","granita","310/456-0488"
"http://www.okkam.org/oaie/restaurant1-Restaurant112","adriano's ristorante","310/475-9807"
"http://www.okkam.org/oaie/restaurant1-Restaurant111","rose pistola","415/399-0499"
"http://www.okkam.org/oaie/restaurant1-Restaurant110","ritz-carlton restaurant and dining room","415/296-7465"
"http://www.okkam.org/oaie/restaurant1-Restaurant85","la grotta","404/231-1368"
"http://www.okkam.org/oaie/restaurant1-Restaurant1","art's delicatessen","818/762-1221"
"http://www.okkam.org/oaie/restaurant1-Restaurant84","indigo coastal grill","404/876-0676"
"http://www.okkam.org/oaie/restaurant1-Restaurant0","arnie morton's of chicago","310/246-1501"
"http://www.okkam.org/oaie/restaurant1-Restaurant87","nikolai's roof","404/221-6362"
"http://www.okkam.org/oaie/restaurant1-Restaurant3","cafe bizou","818/788-3536"
"http://www.okkam.org/oaie/restaurant1-Restaurant2","hotel bel-air","310/472-1211"
"http://www.okkam.org/oaie/restaurant1-Restaurant86","mary mac's tea room","404/876-1800"
"http://www.okkam.org/oaie/restaurant1-Restaurant81","georgia grille","404/352-3517"
"http://www.okkam.org/oaie/restaurant1-Restaurant5","chinois on main","310/392-9025"
"http://www.okkam.org/oaie/restaurant1-Restaurant80","delectables","404/681-2909"
"http://www.okkam.org/oaie/restaurant1-Restaurant4","campanile","213/938-1447"
"http://www.okkam.org/oaie/restaurant1-Restaurant7","fenix","213/848-6677"
"http://www.okkam.org/oaie/restaurant1-Restaurant83","heera of india","404/876-4408"
"http://www.okkam.org/oaie/restaurant1-Restaurant82","hedgerose heights inn","404/233-7673"
"http://www.okkam.org/oaie/restaurant1-Restaurant6","citrus","213/857-0034"
"http://www.okkam.org/oaie/restaurant1-Restaurant88","pano's and paul's","404/261-3662"
"http://www.okkam.org/oaie/restaurant1-Restaurant89","cafe  ritz-carlton  buckhead","404/237-2700"
"http://www.okkam.org/oaie/restaurant1-Restaurant50","oceana","212/759-5941"
"http://www.okkam.org/oaie/restaurant1-Restaurant54","pisces","212/260-6660"
"http://www.okkam.org/oaie/restaurant1-Restaurant53","picholine","212/724-8585"
"http://www.okkam.org/oaie/restaurant1-Restaurant52","petrossian","212/245-2214"
"http://www.okkam.org/oaie/restaurant1-Restaurant51","park avenue cafe","212/644-1900"
"http://www.okkam.org/oaie/restaurant1-Restaurant57","san domenico","212/265-5959"
"http://www.okkam.org/oaie/restaurant1-Restaurant58","second avenue deli","212/677-0606"
"http://www.okkam.org/oaie/restaurant1-Restaurant55","rainbow room","212/632-5000"
"http://www.okkam.org/oaie/restaurant1-Restaurant56","river cafe","718/522-5200"
"http://www.okkam.org/oaie/restaurant1-Restaurant59","seryna","212/980-9393"
"http://www.okkam.org/oaie/restaurant1-Restaurant61","sign of the dove","212/861-8080"
"http://www.okkam.org/oaie/restaurant1-Restaurant60","shun lee west","212/371-8844"
"http://www.okkam.org/oaie/restaurant1-Restaurant63","tavern on the green","212/873-3200"
"http://www.okkam.org/oaie/restaurant1-Restaurant62","smith & wollensky","212/753-1530"
"http://www.okkam.org/oaie/restaurant1-Restaurant65","union square cafe","212/243-4020"
"http://www.okkam.org/oaie/restaurant1-Restaurant64","uncle nick's","212/315-1726"
"http://www.okkam.org/oaie/restaurant1-Restaurant66","virgil's","212/ 921-9494"
"http://www.okkam.org/oaie/restaurant1-Restaurant67","chin's","702/733-8899"
"http://www.okkam.org/oaie/restaurant1-Restaurant68","coyote cafe","702/891-7349"
"http://www.okkam.org/oaie/restaurant1-Restaurant69","le montrachet","702/732-5111"
